PS D:\dynamic> python dup-count-of-ids.py

===== ID COUNTS =====
ID 18260 → 2 files
ID 18261 → 2 files
ID 18263 → 2 files
ID 18264 → 2 files
ID 18266 → 2 files
ID 18268 → 2 files
ID 18270 → 2 files
ID 18271 → 2 files
ID 18274 → 2 files
ID 18276 → 2 files
ID 18277 → 2 files
ID 18281 → 2 files
ID 18282 → 2 files
ID 18283 → 2 files
ID 18297 → 2 files
ID 18311 → 2 files
ID 18313 → 2 files
ID 18315 → 2 files
ID 18319 → 2 files
ID 18321 → 2 files
ID 18327 → 2 files
ID 18328 → 2 files
ID 18331 → 2 files
ID 18334 → 2 files
ID 18335 → 2 files
ID 18339 → 2 files
ID 18342 → 2 files
ID 18343 → 2 files
ID 18344 → 2 files
ID 18346 → 2 files
ID 18349 → 2 files
ID 18351 → 2 files
ID 18352 → 2 files
ID 18359 → 2 files
ID 18361 → 2 files
ID 18363 → 2 files
ID 18368 → 2 files
ID 18376 → 2 files
ID 18405 → 2 files
ID 18406 → 2 files
ID 18409 → 2 files
ID 18413 → 2 files
ID 18421 → 2 files
ID 18425 → 2 files
ID 18427 → 2 files
ID 18428 → 2 files
ID 18451 → 2 files
ID 18452 → 2 files
ID 18454 → 2 files
ID 18462 → 2 files
ID 18464 → 2 files
ID 18471 → 2 files
ID 18475 → 2 files
ID 18476 → 2 files
ID 18480 → 2 files
ID 18514 → 2 files
ID 18515 → 2 files
ID 18517 → 2 files
ID 18518 → 2 files
ID 18533 → 2 files
ID 18534 → 2 files
ID 18537 → 2 files
ID 18540 → 2 files
ID 18542 → 2 files
ID 18544 → 2 files
ID 18546 → 2 files
ID 18548 → 2 files
ID 18602 → 2 files
ID 18603 → 2 files
ID 18608 → 2 files
ID 18628 → 2 files
ID 18630 → 2 files
ID 18635 → 2 files
ID 18636 → 2 files
ID 18643 → 2 files
ID 18646 → 2 files
ID 18649 → 2 files
ID 18650 → 2 files
ID 18654 → 2 files
ID 18672 → 2 files
ID 18673 → 2 files
ID 18676 → 2 files
ID 18677 → 2 files
ID 18678 → 2 files
ID 18679 → 2 files
ID 18680 → 2 files
ID 18681 → 2 files
ID 18689 → 2 files
ID 18690 → 2 files
ID 18705 → 2 files
ID 18710 → 2 files
ID 18716 → 2 files
ID 18718 → 2 files
ID 18720 → 2 files
ID 18722 → 2 files
ID 18724 → 2 files
ID 18730 → 2 files
ID 18733 → 2 files
ID 18734 → 2 files
ID 18796 → 2 files
ID 18824 → 2 files
ID 18826 → 2 files
ID 18827 → 2 files
ID 18830 → 2 files
ID 18831 → 2 files
ID 18832 → 2 files
ID 18836 → 2 files
ID 18837 → 2 files
ID 18846 → 2 files
ID 18856 → 2 files
ID 18866 → 2 files
ID 18887 → 2 files
ID 18888 → 2 files
ID 18894 → 2 files
ID 18895 → 2 files
ID 18896 → 2 files
ID 18908 → 2 files
ID 18921 → 2 files
ID 18925 → 2 files
ID 18926 → 2 files
ID 18929 → 2 files
ID 18931 → 2 files
ID 18936 → 2 files
ID 18937 → 2 files
ID 18938 → 2 files
ID 19009 → 2 files
ID 19457 → 2 files
ID 19691 → 2 files
ID 20068 → 2 files
ID 20083 → 2 files
ID 20093 → 2 files
ID 20247 → 2 files
ID 20869 → 2 files
ID 20990 → 2 files
ID 21066 → 2 files
ID 21148 → 2 files
ID 21211 → 2 files
ID 21265 → 2 files
ID 21300 → 2 files
ID 21321 → 2 files
ID 21363 → 2 files
ID 21410 → 2 files
ID 21501 → 2 files
ID 21790 → 2 files
ID 21812 → 2 files
ID 21855 → 2 files
ID 21864 → 2 files
ID 21889 → 2 files
ID 21905 → 2 files
ID 21909 → 2 files
ID 21927 → 2 files
ID 21947 → 2 files
ID 21952 → 2 files
ID 21962 → 2 files
ID 21964 → 2 files
ID 22007 → 2 files
ID 22079 → 2 files
ID 22106 → 2 files
ID 22123 → 2 files
ID 22165 → 2 files
ID 22181 → 2 files
ID 22222 → 2 files
ID 22234 → 2 files
ID 22319 → 2 files
ID 22372 → 2 files
ID 22406 → 2 files
ID 22430 → 2 files
ID 22443 → 2 files
ID 22449 → 2 files
ID 22470 → 2 files
ID 22551 → 2 files
ID 22602 → 2 files
ID 22878 → 2 files
ID 22906 → 2 files
ID 22914 → 2 files
ID 22918 → 2 files
ID 22943 → 2 files
ID 22975 → 2 files
ID 23007 → 2 files
ID 23016 → 2 files
ID 23020 → 2 files
ID 23061 → 2 files
ID 23113 → 2 files
ID 23240 → 2 files
ID 23258 → 2 files
ID 23262 → 2 files
ID 23264 → 2 files
ID 23268 → 2 files
ID 23279 → 2 files
ID 23306 → 2 files
ID 23562 → 2 files
ID 23785 → 2 files
ID 23808 → 2 files
ID 23943 → 2 files
ID 24182 → 2 files
ID 24202 → 2 files
ID 24225 → 2 files
ID 24260 → 2 files
ID 24436 → 2 files
ID 24474 → 2 files
ID 24655 → 2 files
ID 24679 → 2 files
ID 154564 → 2 files
ID 154567 → 2 files
ID 154590 → 2 files
ID 154606 → 2 files
ID 154637 → 2 files
ID 154659 → 2 files
ID 154660 → 2 files
ID 154665 → 2 files
ID 154666 → 2 files
ID 154670 → 2 files
ID 154675 → 2 files
ID 154686 → 2 files
ID 154689 → 2 files
ID 154690 → 2 files
ID 154704 → 2 files
ID 154726 → 2 files
ID 154749 → 2 files
ID 154758 → 2 files
ID 154781 → 2 files
ID 154808 → 2 files
ID 154809 → 2 files
ID 154874 → 2 files
ID 154883 → 2 files
ID 154927 → 2 files
ID 155072 → 2 files
ID 155131 → 2 files
ID 155160 → 2 files
ID 155211 → 2 files
ID 155222 → 2 files
ID 155244 → 2 files
ID 155310 → 2 files
ID 155330 → 2 files
ID 155404 → 2 files
ID 155415 → 2 files
ID 155555 → 2 files
ID 156195 → 2 files
ID 156245 → 2 files
ID 156261 → 2 files
ID 156305 → 2 files
ID 156327 → 2 files
